,product_id,product_name,product_type,price_KIWI,price_MENY,price_OBS,price_REMA 1000,price_SPAR,price_EXTRA,year,week
0,174,Lime,kg,37.8,45.8,40.0,38.0,39.9,38.8,2019,1
1,231,Avocado Moden,2 pk,25.0,39.9,35.0,25.0,39.9,34.0,2019,1
2,123,Paprika,1 kg løsvekt,44.8,59.9,46.1,48.0,49.9,44.8,2019,1
3,6,Agurk,1 stk,13.0,18.9,20.5,13.8,13.9,19.9,2019,1
4,8,Brokkoli,1 stk,10.0,10.0,15.5,10.0,10.0,14.9,2019,1
5,575,Skivet Ridderost Tine,170 gr,38.4,41.9,39.9,38.9,41.9,38.4,2019,1
6,181,Norvegia skivet,300gr,42.0,44.9,43.5,43.9,44.9,42.0,2019,1
7,204,Philadelphia light,200gr,21.9,20.5,21.9,19.8,23.9,21.9,2019,1
8,16,Stjernebacon,140 gr,21.9,23.9,22.58,18.9,23.9,21.87,2019,1
9,79,Karbonader Gilde,810 gr,79.4,86.9,82.71,80.3,69.9,79.38,2019,1
10,385,Iskaffe a la Mocca,330 ml,17.9,19.9,18.9,17.9,19.9,17.9,2019,1
11,32,Lettrømme Tine,3 dl,14.9,15.9,15.9,15.9,17.3,14.9,2019,1
12,30,Skummet melk Tine,1 liter,14.9,15.9,4.9,15.1,16.1,14.9,2019,1
13,28,Lettmelk Tine,1 liter,17.3,18.5,18.3,17.5,18.7,17.3,2019,1
14,36,Melange margarin,500 gram,25.7,27.9,27.0,25.7,27.9,25.7,2019,1
15,17,Mills Majones,330 gr (2 poser),27.9,28.9,28.2,27.9,29.9,26.9,2019,1
16,18,Mills Kaviar,185 gr,19.4,20.5,20.84,20.9,20.9,20.4,2019,1
17,41,Grandiosa Original,575 gr,42.9,43.9,42.9,42.9,46.9,42.9,2019,1
18,324,Familiens Fiskegrateng,1 kilo,69.8,74.9,70.8,69.9,74.9,69.8,2019,1
19,46,Nugatti Original,500 gram,24.9,26.9,27.9,21.9,26.9,27.9,2019,1
20,84,Bringebærsyltetøy Nora,400 gr hjemmelaget,25.9,27.9,26.7,25.9,27.9,25.9,2019,1
21,528,"Tomatbønner, Nora",400 gram,12.4,13.7,13.6,12.9,13.5,12.4,2019,1
22,561,Tomatpurre Staveland,180 gr,12.3,13.5,13.7,12.9,13.5,12.3,2019,1
23,111,Tomatsuppe Original,91 gr,16.4,17.7,16.4,16.9,17.9,16.4,2019,1
24,366,Freia vaniljesukker 175 gr,175 gram,22.9,24.9,24.6,23.9,24.9,22.9,2019,1
25,112,Vafler Toro Fam/Pk,591 gr,22.9,24.9,23.8,22.9,24.9,22.9,2019,1
26,130,Pannekaker Øko. Toro,540 gr Familiepakning,24.6,26.9,24.6,28.9,27.9,24.6,2019,1
27,270,"Brun saus med løk, Toro",47 gram,15.2,10.0,15.2,15.2,15.9,15.2,2019,1
28,183,Sopps snarkokt makaroni,650gr,18.4,19.9,17.9,19.6,19.9,18.4,2019,1
29,53,Idun Ketchup,530 gr,12.9,13.9,13.9,12.9,13.9,13.9,2019,1
30,59,Nescafé Gull refill,100 gr,54.5,59.9,47.9,54.5,58.9,54.5,2019,1
31,99,Oboy,450 gr pose,19.9,21.9,14.7,13.7,21.9,13.7,2019,1
32,87,"Kelloggs Corn Flakes, Family",500 gr,26.5,28.9,26.5,27.9,28.9,26.5,2019,1
33,390,JIF Baderom Spray,500 ml,32.2,34.5,32.8,34.9,34.9,32.2,2019,1
34,68,Smågodt,1 hg,16.8,17.9,13.4,16.8,18.5,13.4,2019,1
35,191,Peanøttkubbe,60gr,17.5,18.9,17.7,16.5,17.9,17.5,2019,1
36,192,Toppris,60gr,15.5,17.2,16.8,14.9,15.9,15.5,2019,1
0,6,Agurk,1 stk,15.9,19.9,20.5,15.9,19.9,22.9,2019,2
1,10,Champignon,1 kg,28.9,31.8,29.8,28.9,31.9,28.9,2019,2
2,7,Isbergsalat,1 stk,19.9,21.9,22.9,19.9,21.9,19.9,2019,2
3,9,Blomkål,1 stk,17.9,19.9,20.5,17.9,18.9,19.9,2019,2
4,507,Kremost Pepper,125 gram,15.9,16.9,17.5,15.9,17.9,16.9,2019,2
